Binary , Hexadecimal , Octal , Decimal
0000   ,   0         ,   0   ,    0
0001   ,   1         ,   1   ,    1
0010   ,   2         ,   2   ,    2
0011   ,   3         ,   3   ,    3
0100   ,   4         ,   4   ,    4
0101   ,   5         ,   5   ,    5
0110   ,   6         ,   6   ,    6
0111   ,   7         ,   7   ,    7
1000   ,   8         ,  10   ,    8
1001   ,   9         ,  11   ,    9
1010   ,   A         ,  12   ,   10
1011   ,   B         ,  13   ,   11
1100   ,   C         ,  14   ,   12
1101   ,   D         ,  15   ,   13
1110   ,   E         ,  16   ,   14
1111   ,   F         ,  17   ,   15